10,25,1,937,|,1060.6379516124725,2.332512378692627,7.454793214797974,2.5276520252227783,|,6265.0,6265.0,6265.0,3109.0
10,25,48,911,|,977.4667465686798,2.304830312728882,7.349614381790161,2.6773483753204346,|,7216.0,7216.0,7216.0,3748.0
10,25,33,843,|,755.5337302684784,2.230343818664551,6.13976263999939,2.4836978912353516,|,6853.0,6853.0,6853.0,3399.0
10,25,41,900,|,864.6230223178864,2.101748466491699,6.505867958068848,2.3733441829681396,|,5699.0,5699.0,5699.0,3296.0
10,25,7,883,|,867.4666256904602,2.117656946182251,6.867570400238037,2.481074094772339,|,6479.0,6479.0,6479.0,3586.0
10,25,11,873,|,819.9024083614349,2.2117090225219727,6.479705333709717,2.4484922885894775,|,5584.0,5584.0,5584.0,3003.0
10,25,9,1024,|,1027.7220504283905,2.815729856491089,6.9780659675598145,3.0839145183563232,|,6982.0,6982.0,6982.0,3368.0
10,25,12,915,|,866.6052830219269,2.3734323978424072,6.781027555465698,2.385894298553467,|,5632.0,5632.0,5632.0,3346.0
10,25,4,985,|,1066.8417012691498,2.4684934616088867,7.165287971496582,2.636672258377075,|,5978.0,5978.0,5978.0,3193.0
10,25,26,983,|,979.6916089057922,2.210684299468994,6.828698635101318,2.4376537799835205,|,5828.0,5828.0,5828.0,3384.0
10,25,29,1025,|,1106.415355682373,2.6610686779022217,7.473242998123169,2.993065357208252,|,7707.0,7707.0,7707.0,3718.0
10,25,19,820,|,833.3670234680176,1.8184311389923096,6.642503976821899,2.203711748123169,|,4907.0,4907.0,4907.0,2888.0
10,25,46,1841,|,3302.513483762741,8.002880811691284,x,8.67638087272644,|,13642.0,13642.0,x,4320.0
10,25,37,1300,|,1534.6281623840332,3.728320598602295,x,4.072130441665649,|,8890.0,8890.0,x,3835.0
10,25,42,855,|,773.5393540859222,2.0611324310302734,x,2.1415364742279053,|,5986.0,5986.0,x,3119.0
10,25,30,861,|,848.2190680503845,2.771608829498291,x,3.1830317974090576,|,10037.0,10037.0,x,3621.0
10,25,45,874,|,744.7494564056396,1.9138689041137695,x,2.2811946868896484,|,5402.0,5402.0,x,3169.0
10,25,5,1197,|,1177.69109249115,2.871760129928589,x,3.455612897872925,|,8433.0,8433.0,x,3279.0
10,25,27,918,|,950.565235376358,2.6621854305267334,x,2.666987419128418,|,7236.0,7236.0,x,3171.0
10,25,8,779,|,684.1237704753876,1.720982551574707,x,2.396979331970215,|,5692.0,5692.0,x,3286.0
10,25,23,948,|,941.8153040409088,2.1824488639831543,x,2.459099769592285,|,6923.0,6923.0,x,3592.0
10,25,15,1024,|,999.1948165893555,2.63895320892334,x,2.735656976699829,|,6256.0,6256.0,x,3045.0
10,25,47,980,|,1047.6473631858826,2.626413345336914,x,2.717726707458496,|,8768.0,8768.0,x,3545.0
10,25,39,822,|,817.0237853527069,2.453781843185425,x,2.1883280277252197,|,5365.0,5365.0,x,3207.0
10,25,6,862,|,790.2375867366791,2.0345962047576904,x,2.2614617347717285,|,5229.0,5229.0,x,2957.0
10,25,34,886,|,818.0397045612335,2.024181604385376,x,2.2761476039886475,|,5606.0,5606.0,x,3142.0
10,25,14,974,|,958.5332951545715,2.37630558013916,x,2.6614816188812256,|,5903.0,5903.0,x,3327.0
