10,100,39,3504,|,13439.71468448639,15.484894037246704,28.28670024871826,17.241780757904053,|,24645.0,24645.0,24645.0,12995.0
10,100,43,3751,|,13474.584203243256,20.998828172683716,29.762277364730835,21.981388807296753,|,34194.0,34194.0,34194.0,14407.0
10,100,17,3042,|,9843.249307394028,14.669089794158936,24.761842727661133,16.375696659088135,|,25612.0,25612.0,25612.0,11692.0
10,100,31,4416,|,18782.075771808624,20.833760261535645,34.175026655197144,23.73310947418213,|,34471.0,34471.0,34471.0,14761.0
10,100,4,3590,|,15477.873884439468,14.2746422290802,29.747589349746704,16.101282596588135,|,24054.0,24054.0,24054.0,12489.0
10,100,18,2768,|,9217.001635789871,9.7001371383667,22.387537240982056,11.013355493545532,|,16888.0,16888.0,16888.0,9937.0
10,100,1,4053,|,17663.565513134003,14.92625617980957,31.044588088989258,17.252291202545166,|,24620.0,24620.0,24620.0,12780.0
10,100,0,3297,|,11415.14111328125,12.161717891693115,24.46997880935669,13.75691294670105,|,18544.0,18544.0,18544.0,10889.0
10,100,36,4821,|,21673.979815721512,27.611457347869873,35.10467886924744,29.847033977508545,|,31866.0,31866.0,31866.0,14087.0
10,100,34,3415,|,11771.63452219963,11.91316270828247,24.976064920425415,13.636186122894287,|,21662.0,21662.0,21662.0,12058.0
10,100,44,3613,|,12035.436920166016,14.015437841415405,26.568808794021606,16.174721002578735,|,22242.0,22242.0,22242.0,12869.0
10,100,9,3594,|,12683.474654197693,17.40127444267273,x,19.531667709350586,|,24336.0,24336.0,x,11802.0
10,100,14,3460,|,12770.251112699509,12.714014768600464,x,14.764458179473877,|,28607.0,28607.0,x,13579.0
10,100,41,3122,|,11057.71642446518,11.430157899856567,x,13.278106451034546,|,23269.0,23269.0,x,11934.0
10,100,24,3444,|,13010.420224428177,13.963671922683716,x,15.996131420135498,|,24114.0,24114.0,x,12168.0
10,100,21,15000,|,95646.46990704536,296.66281175613403,x,345.79518866539,|,39435.0,39435.0,x,23405.0
10,100,5,4795,|,17964.544897556305,25.837712049484253,x,28.522717475891113,|,36435.0,36435.0,x,12766.0
10,100,47,3546,|,14923.66948390007,15.979825496673584,x,17.742883682250977,|,28001.0,28001.0,x,14783.0
10,100,16,4601,|,18922.60179901123,18.041813611984253,x,21.056424379348755,|,33061.0,33061.0,x,14616.0
10,100,23,3379,|,12555.335092544556,12.938472270965576,x,14.92495083808899,|,26119.0,26119.0,x,13678.0
10,100,22,3687,|,14048.570412874222,14.9692862033844,x,17.21887493133545,|,24938.0,24938.0,x,13474.0
10,100,8,3146,|,10863.868170261383,10.281795024871826,x,11.940659761428833,|,22508.0,22508.0,x,12990.0
10,100,11,3418,|,12594.735403776169,15.794200658798218,x,17.936153173446655,|,21482.0,21482.0,x,11730.0
10,100,3,3181,|,11006.955053329468,12.790518283843994,x,14.036319255828857,|,24228.0,24228.0,x,12095.0
10,100,48,3613,|,11962.39689707756,10.500768184661865,x,12.556315183639526,|,18987.0,18987.0,x,11574.0
10,100,33,3105,|,10764.449011087418,11.98407506942749,x,13.66850733757019,|,24637.0,24637.0,x,12677.0
10,100,28,15000,|,66730.54894852638,125.13107967376709,x,198.875314950943,|,31607.0,31607.0,x,22704.0
10,100,49,3453,|,12675.050537347794,12.708090543746948,x,14.371217489242554,|,21768.0,21768.0,x,11675.0
10,100,40,3568,|,14445.510743618011,14.815630912780762,x,16.559758186340332,|,23813.0,23813.0,x,12993.0
10,100,27,3647,|,14456.804069519043,17.034544467926025,x,19.204519748687744,|,26044.0,26044.0,x,11872.0
10,100,20,4223,|,14364.999781847,13.49385666847229,x,15.84424877166748,|,18803.0,18803.0,x,11005.0
10,100,13,15000,|,68008.71371293068,128.1437566280365,x,177.8894350528717,|,41034.0,41034.0,x,24490.0
10,100,26,3751,|,13929.46223449707,11.331433057785034,x,13.465264081954956,|,19990.0,19990.0,x,12667.0
10,100,42,2876,|,10415.161731243134,10.825388193130493,x,12.205585956573486,|,18229.0,18229.0,x,11312.0
10,100,12,3203,|,11520.580899477005,11.97292685508728,x,13.628825902938843,|,21655.0,21655.0,x,12563.0
10,100,15,3407,|,13216.412703037262,14.858518362045288,x,16.642539501190186,|,23638.0,23638.0,x,12740.0
10,100,37,15000,|,75911.9511373043,147.89071226119995,x,211.2577941417694,|,34164.0,34164.0,x,24332.0
10,100,25,3192,|,11423.262569665909,20.380293369293213,x,22.3393075466156,|,32524.0,32524.0,x,12998.0
10,100,32,2963,|,9792.199086904526,9.944289445877075,x,11.386338472366333,|,17270.0,17270.0,x,11331.0
10,100,2,3154,|,11271.865697860718,12.51644253730774,x,14.171944379806519,|,25958.0,25958.0,x,13294.0
10,100,45,14658,|,209118.27268218994,638.6962840557098,x,678.4088373184204,|,104819.0,104819.0,x,24286.0
10,100,6,3252,|,11610.65840291977,18.29542374610901,x,19.948424100875854,|,24147.0,24147.0,x,11735.0
10,100,30,3368,|,12614.820404291153,21.681001901626587,x,23.682246685028076,|,39674.0,39674.0,x,14218.0
10,100,29,10489,|,130022.2070889473,310.7881507873535,x,337.4976713657379,|,87946.0,87946.0,x,21596.0
10,100,7,3409,|,12551.472086668015,12.909851551055908,x,14.914563417434692,|,23615.0,23615.0,x,13368.0
10,100,46,3993,|,18140.678020477295,20.911513090133667,x,21.932833909988403,|,37404.0,37404.0,x,14078.0
10,100,35,3492,|,12336.439518928528,22.982165575027466,x,25.15373134613037,|,40446.0,40446.0,x,13559.0
10,100,53,3539,|,14033.599600553513,18.32234239578247,x,20.544164896011353,|,32362.0,32362.0,x,13850.0
10,100,59,3804,|,13226.77799654007,12.180028438568115,x,14.399983644485474,|,24750.0,24750.0,x,13660.0
10,100,55,3659,|,13216.899449110031,14.71007776260376,x,16.64981746673584,|,19928.0,19928.0,x,10861.0
10,100,19,3120,|,12377.699179410934,11.482311248779297,x,13.017001628875732,|,21304.0,21304.0,x,11843.0
10,100,58,3641,|,14331.026713132858,17.24931502342224,x,19.391661643981934,|,29499.0,29499.0,x,13401.0
10,100,51,3464,|,11986.974673748016,11.916466236114502,x,14.734088659286499,|,25175.0,25175.0,x,12061.0
10,100,50,3738,|,14227.449290037155,17.256582975387573,x,19.591127157211304,|,28955.0,28955.0,x,13915.0
10,100,38,3047,|,11032.271670341492,15.348641395568848,x,16.98750138282776,|,23634.0,23634.0,x,11888.0
10,100,57,3380,|,12477.00812792778,12.028189659118652,x,13.79262113571167,|,20214.0,20214.0,x,12174.0
10,100,56,3997,|,14450.670822381973,16.046156883239746,x,18.382670402526855,|,29130.0,29130.0,x,12950.0
10,100,10,15000,|,102884.24117612839,276.0887026786804,x,346.5846083164215,|,26612.0,26612.0,x,22044.0
10,100,52,3890,|,14145.213273763657,13.58546781539917,x,15.910548686981201,|,21855.0,21855.0,x,13224.0
10,100,54,15000,|,158790.2037255764,401.40392088890076,x,526.8068132400513,|,27659.0,27659.0,x,19821.0
