40,20,25,1628,|,37035.23330903053,39.39238739013672,162.06939792633057,49.64526295661926,|,117601.0,117601.0,117601.0,15289.0
40,20,34,1737,|,38842.83619904518,41.72737455368042,162.07408022880554,51.61074495315552,|,105725.0,105725.0,105725.0,15119.0
40,20,4,1577,|,42032.16051316261,43.21335029602051,182.45450162887573,50.64192342758179,|,119149.0,119149.0,119149.0,14752.0
40,20,37,1509,|,31374.9144012928,32.64474058151245,146.05633187294006,41.26353168487549,|,91052.0,91052.0,91052.0,14447.0
40,20,28,1821,|,37603.89728784561,36.39047574996948,151.58190655708313,53.15274930000305,|,88976.0,88976.0,88976.0,13656.0
40,20,44,1792,|,42446.33200383186,43.90637826919556,172.2179398536682,57.551284074783325,|,121292.0,121292.0,121292.0,15840.0
40,20,45,2354,|,67058.36717104912,61.811007499694824,216.9393880367279,79.72495794296265,|,135789.0,135789.0,135789.0,17046.0
40,20,23,1739,|,41316.24158453941,41.22088932991028,172.51491022109985,54.33894062042236,|,116606.0,116606.0,116606.0,16261.0
40,20,11,1649,|,35526.66103172302,36.20581245422363,154.96110033988953,45.52561283111572,|,102268.0,102268.0,102268.0,15315.0
40,20,17,1273,|,26379.73301267624,28.389915943145752,140.77492308616638,35.438727378845215,|,91845.0,91845.0,91845.0,14453.0
40,20,48,1588,|,36915.20126414299,35.656912088394165,x,44.91034126281738,|,97987.0,97987.0,x,14936.0
40,20,13,2720,|,71316.59771466255,60.55994534492493,x,83.77041339874268,|,123815.0,123815.0,x,16353.0
40,20,24,1480,|,36072.68988418579,38.726566791534424,x,47.828612089157104,|,113312.0,113312.0,x,15679.0
40,20,16,1615,|,37498.2070710659,35.171242475509644,x,44.989240407943726,|,102971.0,102971.0,x,15044.0
40,20,8,1712,|,39523.67091393471,43.38660407066345,x,64.41938424110413,|,117971.0,117971.0,x,15898.0
40,20,27,2255,|,47603.0589530468,41.635491371154785,x,60.76799488067627,|,106056.0,106056.0,x,15485.0
40,20,9,1530,|,31703.85517191887,32.450161933898926,x,41.992968797683716,|,95463.0,95463.0,x,15228.0
40,20,49,1650,|,39098.51530456543,42.405197620391846,x,52.696069955825806,|,117288.0,117288.0,x,15007.0
40,20,18,1496,|,30484.101087093353,34.80796957015991,x,42.739763498306274,|,103411.0,103411.0,x,15069.0
40,20,14,1845,|,47578.421508550644,47.194093465805054,x,67.8232433795929,|,140283.0,140283.0,x,16624.0
40,20,36,1617,|,38234.313893318176,36.50201416015625,x,47.16511845588684,|,102909.0,102909.0,x,15047.0
40,20,42,15000,|,445892.75946831703,288.72425627708435,x,1403.9554798603058,|,119600.0,119600.0,x,28240.0
40,20,1,1544,|,34717.272406339645,38.1409707069397,x,46.86240291595459,|,109563.0,109563.0,x,15524.0
40,20,31,2501,|,70882.00141263008,64.74212121963501,x,86.89082741737366,|,138348.0,138348.0,x,17805.0
40,20,10,1896,|,48438.819616794586,48.78134751319885,x,62.35123825073242,|,126006.0,126006.0,x,16258.0
40,20,29,1437,|,31453.336621761322,32.99746108055115,x,39.950504779815674,|,98904.0,98904.0,x,15172.0
40,20,41,1673,|,38821.72484588623,39.76053476333618,x,50.68679475784302,|,115501.0,115501.0,x,16190.0
40,20,19,1567,|,34251.169458150864,34.5310914516449,x,43.37548851966858,|,99793.0,99793.0,x,15037.0
40,20,6,2383,|,51005.88635253906,45.89574694633484,x,64.2756974697113,|,109897.0,109897.0,x,16801.0
40,20,47,1563,|,35552.25628256798,37.33267879486084,x,46.26141166687012,|,111706.0,111706.0,x,15054.0
40,20,26,1458,|,30448.657403469086,34.176552295684814,x,42.24662804603577,|,108838.0,108838.0,x,15200.0
40,20,43,8028,|,300517.2935907841,250.41518211364746,x,530.6041860580444,|,189201.0,189201.0,x,22248.0
40,20,35,3951,|,93866.06182146072,73.64607071876526,x,136.85148644447327,|,119899.0,119899.0,x,18480.0
40,20,38,1460,|,32289.523667812347,34.10865497589111,x,41.63542699813843,|,98881.0,98881.0,x,15173.0
40,20,40,1989,|,58172.835896492004,53.788437843322754,x,68.57875347137451,|,132705.0,132705.0,x,15791.0
