30,100,17,5941,|,280525.8407678604,133.6829969882965,x,228.04416728019714,|,222997.0,222997.0,x,50490.0
30,100,46,6906,|,302837.05655384064,158.62946033477783,x,269.20822858810425,|,231289.0,231289.0,x,49095.0
30,100,4,6342,|,313209.46616363525,191.8924491405487,x,291.9185833930969,|,297768.0,297768.0,x,52560.0
30,100,40,5978,|,282717.97251057625,158.93668365478516,x,249.8982322216034,|,251293.0,251293.0,x,49521.0
30,100,34,7197,|,381239.63798737526,213.48033952713013,x,338.73126554489136,|,276974.0,276974.0,x,52988.0
30,100,38,5638,|,246654.65700912476,117.55165505409241,x,185.8400740623474,|,200635.0,200635.0,x,48082.0
30,100,48,15000,|,651386.8148064613,278.2794899940491,x,852.0995268821716,|,236211.0,236211.0,x,56741.0
30,100,12,15000,|,906232.1192700863,482.64788794517517,x,1157.320544242859,|,290739.0,290739.0,x,61592.0
30,100,24,6249,|,274472.8570942879,148.89046430587769,x,239.39528679847717,|,223513.0,223513.0,x,48290.0
30,100,7,6323,|,329890.2466380596,168.2169041633606,x,248.09391355514526,|,246712.0,246712.0,x,50179.0
30,100,31,6156,|,297840.27541041374,156.94809889793396,x,240.74775171279907,|,239549.0,239549.0,x,49051.0
30,100,0,6538,|,322959.2847406864,190.9101071357727,x,277.3059837818146,|,260740.0,260740.0,x,48759.0
30,100,39,6375,|,309861.02431869507,166.17258667945862,x,249.44626474380493,|,234682.0,234682.0,x,50014.0
30,100,2,7078,|,412240.4981460571,245.75718784332275,x,344.4757044315338,|,338773.0,338773.0,x,55652.0
30,100,36,7919,|,480454.1889126301,296.3746392726898,x,477.29086995124817,|,335058.0,335058.0,x,56243.0
30,100,9,5546,|,245424.62390732765,128.98862171173096,x,201.18883609771729,|,220907.0,220907.0,x,48163.0
30,100,21,7693,|,407512.6290476322,236.1583878993988,x,366.3818836212158,|,300394.0,300394.0,x,55332.0
30,100,22,15000,|,715112.3391268253,322.2770285606384,x,873.3756914138794,|,263849.0,263849.0,x,59730.0
30,100,45,15000,|,757764.9840435982,449.9129946231842,x,978.243087053299,|,225555.0,225555.0,x,56084.0
30,100,6,6315,|,300465.2684452534,161.65333247184753,x,251.62492609024048,|,241918.0,241918.0,x,51605.0
30,100,27,15000,|,753879.8918948174,339.06578373908997,x,950.5005016326904,|,282662.0,282662.0,x,61878.0
30,100,19,15000,|,762494.7980046272,394.1230959892273,x,945.3406002521515,|,229483.0,229483.0,x,54418.0
30,100,3,6678,|,355178.6376852989,185.18104577064514,x,264.14137840270996,|,259083.0,259083.0,x,48859.0
30,100,33,15000,|,780454.7978522778,311.16586089134216,x,933.3519458770752,|,264858.0,264858.0,x,62244.0
30,100,20,15000,|,1380617.8047139645,1277.930415391922,x,1730.5219225883484,|,208207.0,208207.0,x,51643.0
30,100,49,12982,|,948625.6109161377,488.64897084236145,x,873.8991732597351,|,339441.0,339441.0,x,62267.0
30,100,1,5412,|,221954.0661957264,123.45433807373047,x,191.98299717903137,|,224033.0,224033.0,x,48171.0
30,100,41,7099,|,336054.5003147125,192.6013205051422,x,325.3838348388672,|,246149.0,246149.0,x,50296.0
30,100,29,6177,|,277750.5901224613,169.56233310699463,x,249.02674388885498,|,246026.0,246026.0,x,47628.0
30,100,28,6240,|,334039.06569743156,209.82685685157776,x,285.5412027835846,|,293240.0,293240.0,x,50357.0
30,100,26,6395,|,355944.88651943207,224.103613615036,x,305.6078987121582,|,294256.0,294256.0,x,54706.0
