20,20,17,1014,|,3989.804720878601,6.828084230422974,27.11107301712036,7.790007591247559,|,21156.0,21156.0,21156.0,6186.0
20,20,39,959,|,3892.8804309368134,6.5475914478302,27.980361938476562,7.348667860031128,|,19889.0,19889.0,19889.0,6337.0
20,20,26,961,|,3648.761619567871,5.941118478775024,25.814934015274048,6.704590559005737,|,18752.0,18752.0,18752.0,6205.0
20,20,8,1006,|,3498.1057484149933,5.973346471786499,25.10137701034546,6.94957160949707,|,18353.0,18353.0,18353.0,6372.0
20,20,44,887,|,3168.2651011943817,6.1509482860565186,24.816139936447144,6.793626070022583,|,18677.0,18677.0,18677.0,6048.0
20,20,47,954,|,3764.4005110263824,6.508892297744751,26.93788743019104,7.303116321563721,|,21151.0,21151.0,21151.0,6558.0
20,20,31,985,|,3746.253196954727,6.480889320373535,25.66491436958313,7.098168849945068,|,18942.0,18942.0,18942.0,6283.0
20,20,11,923,|,3421.6661608219147,5.6736462116241455,25.094518184661865,6.427066802978516,|,17422.0,17422.0,17422.0,5915.0
20,20,10,967,|,3438.72145819664,6.245899200439453,x,6.784055471420288,|,18188.0,18188.0,x,6002.0
20,20,48,1072,|,4080.696988105774,6.927366733551025,x,7.874372959136963,|,23010.0,23010.0,x,6907.0
20,20,23,1080,|,4192.183829307556,6.722937345504761,x,7.657293319702148,|,20011.0,20011.0,x,6056.0
20,20,20,1056,|,4146.315890312195,7.396985769271851,x,8.255775928497314,|,23259.0,23259.0,x,6630.0
20,20,16,1048,|,3874.1798837184906,6.48352837562561,x,7.354851961135864,|,19794.0,19794.0,x,6444.0
20,20,12,1172,|,4287.35097360611,7.117140769958496,x,8.16212511062622,|,19419.0,19419.0,x,6501.0
20,20,1,1060,|,4247.400188207626,6.563637018203735,x,7.538092613220215,|,19819.0,19819.0,x,6541.0
20,20,36,2601,|,14501.472101211548,18.102663278579712,x,24.209669589996338,|,27349.0,27349.0,x,8080.0
20,20,24,1055,|,4170.845808267593,7.130716323852539,x,8.09555721282959,|,24765.0,24765.0,x,6385.0
20,20,28,1130,|,4589.81898355484,7.780118227005005,x,8.872433423995972,|,23522.0,23522.0,x,6737.0
20,20,40,1250,|,5082.7604150772095,8.380453109741211,x,9.589492559432983,|,27646.0,27646.0,x,7078.0
20,20,37,966,|,3340.714964389801,5.53481388092041,x,6.58736515045166,|,17386.0,17386.0,x,6007.0
20,20,38,1019,|,4178.7938067913055,7.4665539264678955,x,8.001108407974243,|,22610.0,22610.0,x,6443.0
20,20,21,1118,|,4562.123451709747,7.622212648391724,x,8.540842771530151,|,22245.0,22245.0,x,6615.0
20,20,5,2198,|,11373.135955810547,16.835352659225464,x,19.33933663368225,|,35504.0,35504.0,x,8000.0
20,20,46,1219,|,5302.865908384323,8.432241916656494,x,9.553487300872803,|,23627.0,23627.0,x,6603.0
20,20,22,1252,|,5208.709587812424,8.178261995315552,x,9.3281729221344,|,22064.0,22064.0,x,7094.0
20,20,3,994,|,3824.4356377124786,6.318251371383667,x,7.4542295932769775,|,20433.0,20433.0,x,6043.0
20,20,49,1008,|,3817.279143333435,6.514633655548096,x,7.539783000946045,|,22444.0,22444.0,x,6484.0
20,20,27,986,|,3577.5424308776855,5.864431142807007,x,6.9712889194488525,|,19200.0,19200.0,x,6175.0
20,20,2,1119,|,4788.773187875748,7.715353727340698,x,8.708905935287476,|,23881.0,23881.0,x,6666.0
20,20,25,15000,|,107077.02970075607,150.36490488052368,x,405.24793696403503,|,34958.0,34958.0,x,20404.0
20,20,30,15000,|,445078.2648010254,681.1282997131348,x,858.3253884315491,|,82842.0,82842.0,x,21169.0
20,20,32,1041,|,4007.4168612957,6.9503748416900635,x,7.825019121170044,|,20881.0,20881.0,x,6555.0
20,20,33,15000,|,365187.74455690384,832.4108834266663,x,974.3870816230774,|,33025.0,33025.0,x,19296.0
20,20,0,1076,|,4224.178923606873,6.898225784301758,x,7.812657117843628,|,21344.0,21344.0,x,6578.0
20,20,18,15000,|,265909.04241895676,427.5266201496124,x,637.6313788890839,|,67521.0,67521.0,x,21133.0
20,20,42,1185,|,5275.7048461437225,8.008816242218018,x,9.067821502685547,|,22461.0,22461.0,x,6432.0
20,20,41,902,|,3344.9769287109375,5.906707048416138,x,6.654238939285278,|,17292.0,17292.0,x,5934.0
20,20,4,792,|,2641.9666492938995,4.925547122955322,x,5.728510141372681,|,16106.0,16106.0,x,5989.0
20,20,6,1148,|,4713.976851940155,7.895243167877197,x,8.936190605163574,|,21968.0,21968.0,x,6673.0
20,20,45,883,|,3253.9457800388336,6.147437572479248,x,7.0467445850372314,|,21751.0,21751.0,x,6404.0
20,20,14,1215,|,4757.065069675446,7.790164470672607,x,8.896912574768066,|,23099.0,23099.0,x,6759.0
20,20,9,923,|,3351.6080174446106,6.044313430786133,x,6.402792930603027,|,18503.0,18503.0,x,6275.0
20,20,29,1032,|,3770.040636062622,6.67046332359314,x,7.561335802078247,|,24909.0,24909.0,x,6805.0
20,20,43,1070,|,4256.764860391617,7.149847030639648,x,8.095208168029785,|,22453.0,22453.0,x,6408.0
20,20,34,1186,|,4017.6374526023865,6.62236213684082,x,7.645205736160278,|,21613.0,21613.0,x,6214.0
20,20,59,1009,|,3718.4509942531586,6.3323750495910645,x,7.166873216629028,|,21562.0,21562.0,x,6372.0
20,20,51,1011,|,4050.979088783264,7.228124618530273,x,7.742687940597534,|,20398.0,20398.0,x,6315.0
20,20,54,1140,|,4875.007548332214,7.896769762039185,x,8.775233268737793,|,24908.0,24908.0,x,6906.0
20,20,19,980,|,3896.1099643707275,6.158824920654297,x,7.157036066055298,|,16693.0,16693.0,x,5986.0
20,20,57,1019,|,3741.9464576244354,6.433169364929199,x,7.439900875091553,|,20583.0,20583.0,x,6031.0
20,20,50,2317,|,11880.023785829544,16.3622944355011,x,19.194217920303345,|,25630.0,25630.0,x,7829.0
20,20,35,1033,|,4313.560613155365,7.040701389312744,x,8.234490394592285,|,22003.0,22003.0,x,6584.0
20,20,55,984,|,3772.1568973064423,6.690945625305176,x,7.7319016456604,|,21334.0,21334.0,x,6477.0
20,20,7,1004,|,3863.9071872234344,6.771205425262451,x,7.684528112411499,|,23292.0,23292.0,x,5959.0
20,20,52,912,|,3389.752986431122,6.221172094345093,x,7.158574819564819,|,21327.0,21327.0,x,6395.0
20,20,15,1164,|,4504.392150402069,7.471060276031494,x,8.450918197631836,|,22375.0,22375.0,x,6780.0
