20,10,42,492,|,940.8720192909241,2.9593515396118164,13.347023487091064,3.2986373901367188,|,11459.0,11459.0,11459.0,3402.0
20,10,44,566,|,1226.4599509239197,3.4598443508148193,15.173744201660156,3.7385668754577637,|,11886.0,11886.0,11886.0,3509.0
20,10,39,620,|,1495.448928117752,3.8258090019226074,16.78862476348877,4.423388242721558,|,13993.0,13993.0,13993.0,3548.0
20,10,11,652,|,1538.2442271709442,3.8848440647125244,16.551888942718506,4.220923900604248,|,12872.0,12872.0,12872.0,3593.0
20,10,5,459,|,813.3318953514099,2.4167320728302,12.003678798675537,2.6977615356445312,|,8213.0,8213.0,8213.0,3160.0
20,10,34,523,|,952.9079689979553,2.9113035202026367,12.895441770553589,3.1008551120758057,|,9181.0,9181.0,9181.0,3093.0
20,10,45,618,|,1157.2224142551422,3.160982131958008,13.951101303100586,3.776965856552124,|,11615.0,11615.0,11615.0,3598.0
20,10,49,535,|,1059.0067903995514,3.0711770057678223,13.817660093307495,3.541799545288086,|,11354.0,11354.0,11354.0,3473.0
20,10,32,485,|,988.9176886081696,3.057743787765503,14.29452896118164,3.5432615280151367,|,12509.0,12509.0,12509.0,3035.0
20,10,13,769,|,1562.6855137348175,3.856653928756714,15.443855285644531,4.433645486831665,|,10824.0,10824.0,10824.0,3588.0
20,10,6,539,|,1075.3724830150604,3.285282850265503,13.836606979370117,3.6850979328155518,|,13466.0,13466.0,13466.0,3539.0
20,10,3,530,|,1088.103007555008,3.0850393772125244,13.989192008972168,3.6473841667175293,|,10926.0,10926.0,10926.0,3192.0
20,10,21,543,|,1186.2949454784393,3.1318325996398926,x,3.5819900035858154,|,9190.0,9190.0,x,3263.0
20,10,1,591,|,1313.9297971725464,3.362870693206787,x,3.8913052082061768,|,11612.0,11612.0,x,3673.0
20,10,14,516,|,1077.124195098877,3.3602700233459473,x,3.461196184158325,|,12405.0,12405.0,x,3401.0
20,10,38,490,|,1059.9951932430267,2.9863879680633545,x,3.4427413940429688,|,10163.0,10163.0,x,3308.0
20,10,31,558,|,1078.3324611186981,2.961451530456543,x,3.339845895767212,|,11146.0,11146.0,x,3187.0
20,10,33,743,|,1618.033436536789,3.757741689682007,x,4.456379175186157,|,12136.0,12136.0,x,3625.0
20,10,29,525,|,1142.516545534134,3.0736916065216064,x,3.4304099082946777,|,10365.0,10365.0,x,3245.0
20,10,41,562,|,1054.0145962238312,3.044727087020874,x,3.3656275272369385,|,9432.0,9432.0,x,3240.0
20,10,26,571,|,1116.8312845230103,3.2588934898376465,x,3.3899805545806885,|,10010.0,10010.0,x,3171.0
20,10,46,539,|,1110.7574050426483,3.455153226852417,x,3.559439182281494,|,11906.0,11906.0,x,3378.0
20,10,17,507,|,941.4578349590302,2.8789021968841553,x,3.063547372817993,|,9116.0,9116.0,x,3194.0
20,10,18,539,|,1176.9176456928253,3.2992846965789795,x,3.65531325340271,|,11509.0,11509.0,x,3257.0
20,10,20,589,|,1332.6140525341034,3.708034038543701,x,4.128621339797974,|,12169.0,12169.0,x,3408.0
20,10,47,562,|,1210.1822006702423,3.3402364253997803,x,3.8043508529663086,|,11815.0,11815.0,x,3522.0
20,10,12,522,|,1077.8923001289368,3.0666353702545166,x,3.5171425342559814,|,10154.0,10154.0,x,3183.0
20,10,9,15000,|,86182.66431093216,154.75650072097778,x,515.7794351577759,|,27479.0,27479.0,x,18039.0
20,10,16,574,|,1204.7726192474365,3.3748555183410645,x,3.9014313220977783,|,12321.0,12321.0,x,3528.0
20,10,15,13834,|,72414.76216673851,129.91147756576538,x,362.05704045295715,|,24661.0,24661.0,x,16699.0
20,10,2,662,|,1290.2272565364838,3.472552537918091,x,3.9234042167663574,|,11680.0,11680.0,x,3384.0
20,10,4,501,|,937.7258429527283,3.2084128856658936,x,3.3531417846679688,|,11609.0,11609.0,x,3364.0
20,10,48,518,|,1204.2196888923645,3.3174145221710205,x,3.8862950801849365,|,11296.0,11296.0,x,3485.0
20,10,36,462,|,945.1183390617371,2.862783193588257,x,3.288893699645996,|,9874.0,9874.0,x,3135.0
20,10,7,586,|,1338.9049468040466,4.5281150341033936,x,3.9736859798431396,|,12650.0,12650.0,x,3547.0
20,10,28,628,|,1402.4113602638245,3.7668631076812744,x,4.2055580615997314,|,12964.0,12964.0,x,3545.0
20,10,25,1047,|,3235.1577966213226,6.435455560684204,x,7.142029285430908,|,16032.0,16032.0,x,3997.0
20,10,40,542,|,1103.4747641086578,3.159813165664673,x,3.5358939170837402,|,13142.0,13142.0,x,3597.0
20,10,10,471,|,885.4328231811523,2.7238497734069824,x,3.020939826965332,|,9656.0,9656.0,x,3257.0
20,10,23,577,|,1220.0918278694153,3.3079042434692383,x,3.6784868240356445,|,11312.0,11312.0,x,3292.0
20,10,24,15000,|,97230.40727376938,129.5121204853058,x,353.0908246040344,|,30297.0,30297.0,x,17942.0
20,10,30,576,|,1196.0119547843933,3.2763302326202393,x,3.6537704467773438,|,11164.0,11164.0,x,3342.0
20,10,43,656,|,1488.0827174186707,3.83573842048645,x,4.442396402359009,|,13228.0,13228.0,x,3448.0
20,10,52,512,|,1096.3224613666534,3.188624382019043,x,3.646418571472168,|,11625.0,11625.0,x,3350.0
20,10,0,558,|,1113.4523620605469,3.1455397605895996,x,3.6509673595428467,|,11467.0,11467.0,x,3379.0
20,10,27,560,|,1165.7412626743317,3.241410493850708,x,3.740577459335327,|,12074.0,12074.0,x,3396.0
20,10,35,594,|,1225.6427688598633,3.214951992034912,x,3.727423906326294,|,10960.0,10960.0,x,3233.0
