
taskID: 67, robotID: 2, action: 0.0, startPos: [ 4 12], goalPos: [ 4 12], time: 18, 
taskID: 68, robotID: 2, action: 0.0, startPos: [ 4 12], goalPos: [ 4 12], time: 19, 
taskID: 69, robotID: 2, action: 0.0, startPos: [ 4 12], goalPos: [ 4 12], time: 20, 
taskID: 70, robotID: 2, action: 0.0, startPos: [ 4 12], goalPos: [ 4 12], time: 21, 
taskID: 71, robotID: 2, action: 0.0, startPos: [ 4 12], goalPos: [ 4 12], time: 22, 
taskID: 72, robotID: 2, action: 0.0, startPos: [ 4 12], goalPos: [ 4 12], time: 23, 
taskID: 73, robotID: 3, action: 3.0, startPos: [3 0], goalPos: [2 0], time: 0, 
taskID: 74, robotID: 3, action: 2.0, startPos: [2 0], goalPos: [2 1], time: 1, 
taskID: 75, robotID: 3, action: 2.0, startPos: [2 1], goalPos: [2 2], time: 2, 
taskID: 76, robotID: 3, action: 2.0, startPos: [2 2], goalPos: [2 3], time: 3, 
taskID: 77, robotID: 3, action: 2.0, startPos: [2 3], goalPos: [2 4], time: 4, 
taskID: 78, robotID: 3, action: 2.0, startPos: [2 4], goalPos: [2 5], time: 5, 
taskID: 79, robotID: 3, action: 2.0, startPos: [2 5], goalPos: [2 6], time: 6, 
taskID: 80, robotID: 3, action: 2.0, startPos: [2 6], goalPos: [2 7], time: 7, 
taskID: 81, robotID: 3, action: 1.0, startPos: [2 7], goalPos: [3 7], time: 8, 
taskID: 82, robotID: 3, action: 2.0, startPos: [3 7], goalPos: [3 8], time: 9, 
taskID: 83, robotID: 3, action: 1.0, startPos: [3 8], goalPos: [4 8], time: 10, 
taskID: 84, robotID: 3, action: 2.0, startPos: [4 8], goalPos: [4 9], time: 11, 
taskID: 85, robotID: 3, action: 3.0, startPos: [4 9], goalPos: [3 9], time: 12, 
taskID: 86, robotID: 3, action: 2.0, startPos: [3 9], goalPos: [ 3 10], time: 13, 
taskID: 87, robotID: 3, action: 2.0, startPos: [ 3 10], goalPos: [ 3 11], time: 14, 
taskID: 88, robotID: 3, action: 2.0, startPos: [ 3 11], goalPos: [ 3 12], time: 15, 
taskID: 89, robotID: 3, action: 2.0, startPos: [ 3 12], goalPos: [ 3 13], time: 16, 
taskID: 90, robotID: 3, action: 1.0, startPos: [ 3 13], goalPos: [ 4 13], time: 17, 
