NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
140,0.453125,|,0.14975935220718384,0.00399644672870636,0.002001136541366577,0.046051472425460815,0.04835474491119385,|,9412.5,9412.5,1743.6875,1620.375,1620.375
150,0.4140625,|,0.20827320218086243,0.005408719182014465,0.0025842487812042236,0.062229081988334656,0.06270194053649902,|,11449.5625,11449.5625,1973.5625,1852.8125,1852.8125
160,0.44636678200692037,|,0.24880073964595795,0.006007969379425049,0.002936527132987976,0.07537132501602173,0.07467904686927795,|,12274.0625,12274.0625,2151.5625,2007.8125,2007.8125
170,0.4117647058823529,|,0.31267744302749634,0.007160991430282593,0.0033466070890426636,0.09077246487140656,0.08880786597728729,|,14761.0625,14761.0625,2402.5,2261.0625,2261.0625
180,0.4444444444444444,|,0.3450016528367996,0.007169291377067566,0.003350168466567993,0.0980740338563919,0.0983528345823288,|,15142.75,15142.75,2529.8125,2354.3125,2354.3125
190,0.4135802469135802,|,0.37247443199157715,0.007819488644599915,0.0035130828619003296,0.11309261620044708,0.11617089807987213,|,18481.875,18481.875,2870.25,2694.625,2694.625
200,0.445983379501385,|,0.4799787551164627,0.008607476949691772,0.0038175880908966064,0.13840331137180328,0.14359748363494873,|,20304.875,20304.875,3144.6875,2941.5,2941.5
210,0.4182825484764543,|,0.5160885751247406,0.009232446551322937,0.003926262259483337,0.15180671215057373,0.15775467455387115,|,22478.4375,22478.4375,3349.875,3146.0625,3146.0625
220,0.44999999999999996,|,0.6379149407148361,0.009666100144386292,0.004267707467079163,0.18802975118160248,0.19654659926891327,|,23565.5,23565.5,3579.9375,3335.3125,3335.3125
230,0.42500000000000004,|,0.6406932175159454,0.010480031371116638,0.004343315958976746,0.20136107504367828,0.21227867901325226,|,27326.25,27326.25,3910.375,3667.6875,3667.6875
