NUM_AGENTS,PercentSpaceEmpty,|,CPP_SAGE_Time,CPP_FORTED_Time,|,CPP_SAGE_Comms,CPP_FORTED_Comms
1000,0.40511600237953604,|,0.3757942020893097,0.0632910281419754,|,623236.75,41371.375
2000,0.4054696789536266,|,2.313837841153145,0.19927945733070374,|,2798279.75,137038.25
3000,0.40487998413013293,|,5.9255246967077255,0.4297194480895996,|,6629988.625,257935.0625
4000,0.40511600237953604,|,11.9139454215765,0.8062311559915543,|,12619790.3125,410247.25
5000,0.40926275992438566,|,20.381830468773842,1.0275339931249619,|,20710887.625,585833.5
6000,0.4,|,30.16243189573288,1.422949954867363,|,28927778.25,763122.8125
7000,0.41082400471340796,|,40.711342096328735,1.9040637761354446,|,39183055.9375,960676.125
8000,0.4054696789536266,|,55.4442098736763,2.1432618349790573,|,52425586.8125,1186878.0
9000,0.40511600237953604,|,73.80349442362785,2.5309524536132812,|,68396706.5625,1434685.25
