NUM_AGENTS,PercentSpaceEmpty,|,ADG_Time,SAGE_TIME,FORTED_TIME,MAGE_TIME,|,ADG_Comms,SAGE_Comms,FORTED_Comms,MAGE_Comms
10,0.375,|,0.013708233833312988,0.0011102914810180663,0.0005758762359619141,0.002243924140930176,|,29.6,29.6,18.9,17.0
20,0.4444444444444444,|,0.09458866119384765,0.0024304866790771486,0.0015094995498657227,0.0029551506042480467,|,152.5,152.5,64.2,60.1
30,0.3877551020408163,|,0.4249865531921387,0.004353857040405274,0.0033794641494750977,0.005785703659057617,|,351.8,351.8,136.0,124.9
40,0.375,|,1.1179014682769775,0.0077076911926269535,0.00480806827545166,0.010401201248168946,|,632.0,632.0,216.0,197.2
